Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
MRT,Marti Technologies Inc. Class A Ordinary Shares,$2.39,-0.07,-2.846%,182224018.00,,2021,46716,Consumer Discretionary,Rental/Leasing Companies
MSN,Emerson Radio Corporation Common Stock,$0.4102,0.0102,2.55%,8631696.00,United States,1994,67103,Consumer Staples,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$5.72,0.25,4.57%,529342402.00,,,1736466,Basic Materials,Precious Metals
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$1.83,0.01,0.549%,9309183.00,United States,2017,128100,Health Care,Biotechnology: Pharmaceutical Preparations
MWG,Multi Ways Holdings Limited Ordinary Shares,$0.259,0.022,9.283%,8632470.00,,2023,238477,Consumer Discretionary,Miscellaneous manufacturing industries
MXC,Mexco Energy Corporation Common Stock,$8.22,0.12,1.481%,16818120.00,United States,2003,5934,Energy,Oil & Gas Production
MYND,Mynd.ai Inc. American Depositary Shares,$0.58,-0.01,-1.695%,26475714.00,,2017,57867,Real Estate,Other Consumer Services
MYO,Myomo Inc. Common Stock,$1.06,0.01,0.952%,40069134.00,United States,2017,781387,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.86,-0.04,-4.444%,474504261.00,Canada,,5812846,Basic Materials,Precious Metals
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$9.86,-0.02,-0.202%,0.00,United States,2002,82620,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$2.28,0.50,28.09%,13277573.00,United States,2007,6490653,Health Care,Biotechnology: Pharmaceutical Preparations
NCL,Northann Corp. Common Stock,$0.1579,0.021,15.34%,15073766.00,,2023,6780787,Industrials,Plastic Products
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$72.00,0.00,0.00%,202955760.00,United States,,124,Real Estate,Building operators
NEWP,New Pacific Metals Corp. Common Shares,$1.95,0.20,11.429%,335164963.00,Canada,2021,1300907,Basic Materials,Precious Metals
NFGC,New Found Gold Corp Common Shares,$2.00,0.05,2.564%,461475988.00,,2021,2494033,Basic Materials,Precious Metals
NG,Novagold Resources Inc.,$6.69,-0.15,-2.193%,2722145258.00,Canada,2003,4471663,Basic Materials,Precious Metals
NGD,New Gold Inc.,$6.12,0.22,3.729%,4845204000.00,Canada,,18433035,Basic Materials,Metal Mining
NHC,National HealthCare Corporation Common Stock,$112.53,-0.95,-0.837%,1744317515.00,United States,1986,31622,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$7.50,-0.035,-0.464%,0.00,United States,,136471,Finance,Trusts Except Educational Religious and Charitable
NML,Neuberger Berman Energy Infrastructure and Income Fund Inc. Common Stock,$8.72,-0.01,-0.115%,0.00,United States,2013,112289,Finance,Finance/Investors Services
